"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 08 07:35:44 GMT 2022","Wed Jun 08 07:35:51 GMT 2022","7234","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Wed Jun 08 07:33:49 GMT 2022","Wed Jun 08 07:33:51 GMT 2022","2051","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Wed Jun 08 07:33:53 GMT 2022","Wed Jun 08 07:33:54 GMT 2022","827","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"broken","Wed Jun 08 07:35:27 GMT 2022","Wed Jun 08 07:35:42 GMT 2022","15394","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"broken","Wed Jun 08 07:35:54 GMT 2022","Wed Jun 08 07:36:10 GMT 2022","15390","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Wed Jun 08 07:34:13 GMT 2022","Wed Jun 08 07:34:28 GMT 2022","15385","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
"broken","Wed Jun 08 07:33:56 GMT 2022","Wed Jun 08 07:34:11 GMT 2022","15397","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"broken","Wed Jun 08 07:34:30 GMT 2022","Wed Jun 08 07:34:45 GMT 2022","15346","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"broken","Wed Jun 08 07:34:47 GMT 2022","Wed Jun 08 07:35:05 GMT 2022","18397","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Wed Jun 08 07:35:53 GMT 2022","Wed Jun 08 07:35:53 GMT 2022","193","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Wed Jun 08 07:35:07 GMT 2022","Wed Jun 08 07:35:25 GMT 2022","18393","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
